topicId,words..
1,vases terracotta greek diameter figure attic ca red archaic black
2,null gold period silver date culture ivory pendant head height
3,cm ca bequest gems minoan beatty gedney late richard seager
4,subscription cypriot purchased collection cesnola stone limestone made sculpture lead
5,fund rogers greek classical late hellenistic cm italian south bowl
6,cm terracotta gift vases terracottas greek society american sardis woman
7,cm century bronze bronzes purchase miscellaneous etruscan archaic mrs length
8,cm collection cesnola subscription purchased diam form age terracottas mold
9,glass roman edward moore blown imperial century early st mid
10,century roman gift st pierpont morgan imperial early late marble
